id,carMake,carModel,carYear,carColor
1,Chevrolet,Citation,1980,Aquamarine
2,Ford,Thunderbird,1997,Indigo
3,Audi,4000,1987,Puce
4,Porsche,Cayenne,2012,Purple
5,Porsche,911,1992,Goldenrod
6,Chevrolet,Tahoe,1997,Crimson
7,Jeep,Wrangler,2003,Crimson
8,Isuzu,Stylus,1993,Yellow
9,MINI,Cooper,2010,Mauv
10,Jaguar,XF,2011,Fuscia
11,Plymouth,Acclaim,1995,Pink
12,Jaguar,XK Series,2002,Red
13,Mercedes-Benz,500E,1993,Puce
14,GMC,3500 Club Coupe,1993,Blue
15,Lamborghini,Murciélago,2004,Blue
16,Acura,RL,2012,Purple
17,GMC,Sierra 1500,2009,Red
18,BMW,X6 M,2013,Green
19,Dodge,Dynasty,1993,Teal
20,Nissan,Quest,2000,Green
21,Nissan,Rogue,2010,Red
22,Mercury,Tracer,1992,Pink
23,Volvo,S70,1998,Aquamarine
24,Volkswagen,New Beetle,2010,Red
25,Dodge,Ram Van 2500,2003,Indigo
26,Buick,Roadmaster,1995,Yellow
27,Porsche,944,1987,Aquamarine
28,Chevrolet,Suburban,2010,Fuscia
29,Dodge,Ram Wagon B350,1994,Maroon
30,Buick,Roadmaster,1993,Green
31,Infiniti,FX,2006,Turquoise
32,Toyota,Sequoia,2009,Khaki
33,Toyota,Corolla,1992,Mauv
34,Dodge,Dynasty,1992,Green
35,Isuzu,Trooper,2001,Green
36,Ford,Ranger,1985,Blue
37,Land Rover,Range Rover,2010,Maroon
38,Land Rover,Discovery,2003,Mauv
39,Ford,Country,1967,Mauv
40,Toyota,Highlander,2003,Blue
41,Nissan,Murano,2012,Yellow
42,Dodge,Durango,2002,Green
43,Dodge,Ram 2500,1994,Mauv
44,Hyundai,Accent,2007,Yellow
45,Buick,LeSabre,1998,Mauv
46,Audi,A8,2005,Crimson
47,Chevrolet,Monte Carlo,2005,Indigo
48,Aptera,2e,2009,Maroon
49,BMW,5 Series,1995,Aquamarine
50,Mazda,MX-5,1994,Goldenrod
